afid,number_occurences,affilname,affiliation_city,affiliation_country,city_country,lat,long
60108316,4,Leonard N. Stern School of Business,New York,United States,"New York, United States",40.7127281,-74.0060152
60116863,4,UC Davis Graduate School of Management,Davis,United States,"Davis, United States",40.7474784,-92.3965311
60177637,4,King’s Business School,London,United Kingdom,"London, United Kingdom",51.5073359,-0.12765
60211905,4,Shailesh J. Mehta School of Management,Mumbai,India,"Mumbai, India",19.08157715,72.88662753964906
60000689,3,Kansas State University,Manhattan,United States,"Manhattan, United States",40.7896239,-73.9598939
60002804,3,University of Tennessee at Chattanooga,Chattanooga,United States,"Chattanooga, United States",35.0457219,-85.3094883
60006019,3,China University of Geosciences,Wuhan,China,"Wuhan, China",30.5951051,114.2999353
60007363,3,Northwestern University,Evanston,United States,"Evanston, United States",42.0470043,-87.6846053
60007511,3,Sungkyunkwan University,Seoul,South Korea,"Seoul, South Korea",37.5666791,126.9782914
60007566,3,Louisiana State University,Baton Rouge,United States,"Baton Rouge, United States",30.4494155,-91.1869659
60011362,3,RMIT University,Melbourne,Australia,"Melbourne, Australia",-37.8142454,144.9631732
60012603,3,Ankara Üniversitesi,Ankara,Turkey,"Ankara, Turkey",39.9207759,32.8540497
60013789,3,Beihang University,Beijing,China,"Beijing, China",39.9057136,116.3912972
60014228,3,MIT Sloan School of Management,Cambridge,United States,"Cambridge, United States",42.3655767,-71.1040018
60016912,3,Yonsei University,Seoul,South Korea,"Seoul, South Korea",37.5666791,126.9782914
60017072,3,Tuck School of Business at Dartmouth,Hanover,United States,"Hanover, United States",37.744783,-77.4464165
60017826,3,University of South Wales,Pontypridd,United Kingdom,"Pontypridd, United Kingdom",51.6001047,-3.3449362
60020134,3,"Bayes Business School, City University of London",London,United Kingdom,"London, United Kingdom",51.5073359,-0.12765
60020345,3,Brandenburgische Technische Universität Cottbus,Cottbus,Germany,"Cottbus, Germany",51.7567447,14.3357307
60020475,3,Universidade do Minho,Braga,Portugal,"Braga, Portugal",41.5510583,-8.4280045
60021023,3,University of Wisconsin-La Crosse,La Crosse,United States,"La Crosse, United States",43.8122836,-91.2514355
60022123,3,National Institute of Industrial Engineering,Mumbai,India,"Mumbai, India",19.08157715,72.88662753964906
